Date,JP_GDP
2017-01-01,547306.2
2017-04-01,551250.3
2017-07-01,557173.5
2017-10-01,556406.9
2018-01-01,557948.1
2018-04-01,559716.2
2018-07-01,554857.2
2018-10-01,552270.4
2019-01-01,558434.6
2019-04-01,562554.7
2019-07-01,562300.8
2019-10-01,550097.0
2020-01-01,553878.2
2020-04-01,512525.0
2020-07-01,538980.4
2020-10-01,546104.8
2021-01-01,543564.5
2021-04-01,544693.4
2021-07-01,538923.3
2021-10-01,540745.2
