Date,USDJPY
2017-01-02,116.79499816894531
2017-01-03,117.49500274658203
2017-01-04,117.65899658203125
2017-01-05,117.11299896240234
2017-01-06,115.26499938964844
2017-01-09,117.1500015258789
2017-01-10,115.98500061035156
2017-01-11,115.87200164794922
2017-01-12,115.0979995727539
2017-01-13,114.66400146484375
2017-01-16,114.22699737548828
2017-01-17,114.1520004272461
2017-01-18,112.87799835205078
2017-01-19,114.76200103759766
2017-01-20,114.9800033569336
2017-01-23,113.80999755859375
2017-01-24,112.77999877929688
2017-01-25,113.83999633789062
2017-01-26,113.29299926757812
2017-01-27,114.45500183105469
2017-01-30,114.66799926757812
2017-01-31,113.6500015258789
2017-02-01,112.74299621582031
2017-02-02,113.31099700927734
2017-02-03,112.78900146484375
2017-02-06,112.63899993896484
2017-02-07,111.8270034790039
2017-02-08,112.38700103759766
2017-02-09,111.9520034790039
2017-02-10,113.43399810791016
2017-02-13,113.91400146484375
2017-02-14,113.70500183105469
2017-02-15,114.3010025024414
2017-02-16,114.11199951171875
2017-02-17,113.30500030517578
2017-02-20,112.91100311279297
2017-02-21,113.27999877929688
2017-02-22,113.66899871826172
2017-02-23,113.41699981689453
2017-02-24,112.68199920654297
2017-02-27,112.18800354003906
2017-02-28,112.74500274658203
2017-03-01,113.0770034790039
2017-03-02,114.12100219726562
2017-03-03,114.34200286865234
2017-03-06,113.84700012207031
2017-03-07,113.91699981689453
2017-03-08,113.9260025024414
2017-03-09,114.41100311279297
2017-03-10,115.14900207519531
2017-03-13,114.73200225830078
2017-03-14,114.91500091552734
2017-03-15,114.65899658203125
2017-03-16,113.4020004272461
2017-03-17,113.33999633789062
2017-03-20,112.67400360107422
2017-03-21,112.572998046875
2017-03-22,111.53199768066406
2017-03-23,111.36900329589844
2017-03-24,111.00399780273438
2017-03-27,110.552001953125
2017-03-28,110.77100372314453
2017-03-29,111.22599792480469
2017-03-30,111.15399932861328
2017-03-31,111.7760009765625
2017-04-03,111.26499938964844
2017-04-04,110.70899963378906
2017-04-05,110.85399627685547
2017-04-06,110.38099670410156
2017-04-07,110.89700317382812
2017-04-10,111.2249984741211
2017-04-11,110.71700286865234
2017-04-12,109.58699798583984
2017-04-13,108.9020004272461
2017-04-14,109.10099792480469
2017-04-17,108.322998046875
2017-04-18,109.11199951171875
2017-04-19,108.53500366210938
2017-04-20,108.83399963378906
2017-04-21,109.375
2017-04-24,109.97799682617188
2017-04-25,109.64099884033203
2017-04-26,111.0459976196289
2017-04-27,111.19100189208984
2017-04-28,111.22599792480469
2017-05-01,111.302001953125
2017-05-02,111.81199645996094
2017-05-03,111.96900177001953
2017-05-04,112.78299713134766
2017-05-05,112.53700256347656
2017-05-08,112.68399810791016
2017-05-09,113.2300033569336
2017-05-10,113.697998046875
2017-05-11,114.3280029296875
2017-05-12,113.80899810791016
2017-05-15,113.27100372314453
2017-05-16,113.64199829101562
2017-05-17,112.64600372314453
2017-05-18,111.1259994506836
2017-05-19,111.4010009765625
2017-05-22,111.28399658203125
2017-05-23,110.89099884033203
2017-05-24,111.95700073242188
2017-05-25,111.52400207519531
2017-05-26,111.7300033569336
2017-05-29,111.25599670410156
2017-05-30,111.17400360107422
2017-05-31,110.83899688720703
2017-06-01,110.7959976196289
2017-06-02,111.43699645996094
2017-06-05,110.46299743652344
2017-06-06,110.38099670410156
2017-06-07,109.50900268554688
2017-06-08,109.9000015258789
2017-06-09,109.85900115966797
2017-06-12,110.28800201416016
2017-06-13,109.9209976196289
2017-06-14,110.05500030517578
2017-06-15,109.44599914550781
2017-06-16,110.9520034790039
2017-06-19,110.9540023803711
2017-06-20,111.6729965209961
2017-06-21,111.33399963378906
2017-06-22,111.30999755859375
2017-06-23,111.29000091552734
2017-06-26,111.23899841308594
2017-06-27,111.85800170898438
2017-06-28,112.18800354003906
2017-06-29,112.35399627685547
2017-06-30,112.00900268554688
2017-07-03,112.26200103759766
2017-07-04,113.38600158691406
2017-07-05,112.96199798583984
